答案ID,提交时间,答题耗时,若您已确认上述内容并无异议，请选择下方“开始作答”并点击【下一页】进行本次问卷作答。[A:开始作答B:放弃参与（结束作答）],请问您计划参与测试的设备平台是？[A:PC端B:安卓端],请问您计划本次参与测试会使用安卓手机设备品牌是？[A:华为B:vivoC:OPPOD:小米E:荣耀F:一加G:红米H:iQOOI:三星J:魅族K: 其他，请填写：],请问您将用于本次测试的手机处理器属于以下哪一个选项?[A:骁龙865/天玑9000/麒麟9000及以下（如：小米10/华为Mate 40 Pro等）B: 骁龙870/888/Gen1/Gen2或天玑9200（如：小米13/红米K60 Pro等）C:骁龙8Gen3/天玑9300（如红米K80/iQOO Neo10/一加ACE5等）D:骁龙8Elite/天玑9400及以上(如：小米15/红米K80 Pro/一加Ace5Pro等)E:不清楚具体配置，请填写手机品牌和型号： ],请问您的手机运行内存(RAM)为？[A:4GB及以下B:6GBC:8GBD:12GBE:16GB及以上F:不清楚],请问您能够参与本次测试的PC设备的系统版本是？[A:Windows 10 - 32 位B:Windows 10 - 64 位C:Windows 11D:其他 Windows 系统E:其他操作系统],请选择您在测试中将会使用的PC设备的处理器（CPU）型号,请选择您在测试中将会使用的PC设备的显卡型号,您近半年内主要使用哪些设备玩游戏?[A:手机/平板电脑B:笔记本电脑/台式电脑C:家用主机（如Switch、PS、Xbox等）D:以上都没有],以下手机游戏类型中，您曾深入体验过的有哪些? [A:MOBA类（如王者荣耀、英雄联盟手游等）B:模拟经营类（如桃园深处有人家、心动小镇、我的花园世界等）C:卡牌RPG类（如崩坏：星穹铁道、重返未来：1999、明日方舟、阴阳师等）D:动作类（如绝区零、崩坏3、战双帕弥什等）E:战棋类（如梦幻模拟战、天地劫：幽城再临等）F:自走棋类（如金铲铲之战、多多自走棋等）G:休闲放置类（如剑与远征、杖剑传说等）H:SLG类（如三国志战略版、三国谋定天下、三国：冰河时代等）I:开放世界类（如原神、鸣潮、异环等）J:沙盒类（如我的世界、迷你世界等）K:休闲益智类（如开心消消乐、梦幻家园等）L:射击类（如三角洲行动、逆战：未来等）M:即时制MMORPG（如逆水寒手游、天涯明月刀手游等）N:回合制MMORPG（如梦幻西游、问道等）O:横版动作类（如火影忍者手游、DNF手游、归龙潮等）P:Roguelike类（如重生细胞、土豆兄弟等）Q:其他，请补充 _________________R: 以上都没有],以下手机游戏产品中，您曾深入体验过的有哪些? [A:重生细胞B:忍者必须死系列C:苍翼：混沌效应D:影之刃3E:时空猎人系列F:心渊梦境G:霓虹深渊H:艾希I:火影忍者手游J:归龙潮K:地下城与勇士：起源L:造梦西游系列M:以上都没有],以下PC/主机游戏类型中，您最近三个月玩的最多的是？[A:MOBA(如英雄联盟、DOTA2等)B:集换式卡牌类(如炉石传说、万智牌、游戏王:大师决斗等)C:模拟经营类(如沙石镇时光、星露谷物语、露玛岛、双点博物馆等)D:战争策略类(如帝国时代、魔兽争霸、文明系列等)E:MMORPG类(如逆水寒、最终幻想14、魔兽世界等)F:合作/派对类(如双人成行、糖豆人、猛兽派对等)G:沙盒建造/生存类(如幻兽帕鲁、我的世界、七日世界、RUST、饥荒等)H:射击类(如CSGO、无畏契约、守望先锋、Apex、PUBG、三角洲行动等)I:动作RPG(如只狼、黑暗之魂系列、艾尔登法环、怪物猎人系列等）J:开放世界类(如塞尔达传说系列、刺客信条系列、GTA5、巫师3等)K:平台动作/银河恶魔城类（如奥日、艾希、暗影火炬城等）L:JRPG类（如碧蓝幻想relink、最终幻想系列等）M:视觉小说/文字冒险类(如命运石之门、隐形守护者、底特律:变人等）N:其他，请补充 _________________O:以上都没有],请问您主要是被《绿梦：时空之声》的哪些方面吸引，进而参与本次蚀梦测试的?[A:动作战斗玩法B:美术风格C:有感兴趣的喜欢的角色D:游戏热度高E:喜欢尝试新游戏F:剧情世界观G:游戏类型（动作类）H:游戏类型（射击类）I:朋友、UP主推荐J:其他原因，请补充]
GameCenter_2026060442551428,2026-06-04 22:50:40,54,A,B,A,A,C,,,,A,A，C，D，F，O,D，H，J,,A，B，G
GameCenter_2026060422961427,2026-06-04 22:50:08,68,A,B,B,C,E,,,,A,A，C，D，I，J,J,,A，B，I
GameCenter_2026060423181426,2026-06-04 22:49:42,39,A,B,C,C,E,,,,A,A，C，D，K，M,A，B，D，G，I,,B，C，D
GameCenter_2026060447351425,2026-06-04 22:49:16,80,A,B,A,C,D,,,,A,A，D，M，N,A，B，D，E，K,,A，C，G
GameCenter_2026060464501424,2026-06-04 22:48:56,83,A,B,H,B,E,,,,A,C，D，I,B，E，K，L,,A，B，F
GameCenter_2026060454471423,2026-06-04 22:48:49,74,A,B,F,D,D,,,,A，C,B，D，J，O，P,C，D，E，H，J,C，F，I，K，L,B，E，G
GameCenter_2026060447371421,2026-06-04 22:48:16,146,A,A，B,H,B,C,C,i7，13代,3050,A，B,C，D，L，P,A，H，I,F，G，H，J，L,B，C，E
GameCenter_2026060438531418,2026-06-04 22:45:19,110,A,B,C,E，OPPOA3X,E,,,,A,D，I，O,A，I，K,,A，B，G
GameCenter_2026060474801416,2026-06-04 22:44:37,107,A,B,D,D,E,,,,A，C,A，C，D，O，P,C，E，F，H，J,I，J，K，L，M,A，B，C
GameCenter_2026060449531411,2026-06-04 22:43:57,76,A,A,,,,C,7950x3d,4070s,A，B,C，D,K,C，H，M,A，B，E
GameCenter_2026060443101409,2026-06-04 22:43:51,93,A,B,C,E,C,,,,A,C，D，I,M,,A，B，E
GameCenter_2026060473881408,2026-06-04 22:43:04,147,A,B,D,D,E,,,,A,A，C，D，I，L,B，I,,A，B，E
GameCenter_2026060491431404,2026-06-04 22:41:15,130,A,B,D,E，小米10~14s,F,,,,A,A，I，L，O,B，E，G，I，J,,A，B，G
GameCenter_2026060487301402,2026-06-04 22:38:44,79,A,B,A,A,C,,,,A,I，L,M,,A，B，E
GameCenter_2026060430351400,2026-06-04 22:37:08,85,A,A,,,,C,Intel Core i5-13600kf,5070ti,B,,,J,A，B，F
GameCenter_2026060484581399,2026-06-04 22:36:47,207,A,B,A,E，华为nova12活力版,C,,,,A,C，D，I，O，P,A，C，H,,A，B，C
GameCenter_2026060439771398,2026-06-04 22:36:25,319,A,A,,,,B,AMD Ryzen 5 7500F 6-Core Processor,AMD Radeon RX 7800XT（16G）,A，B，C,C，D，O，P,A，C，F，H，J,I，J，K，L,A，G
GameCenter_2026060477241396,2026-06-04 22:35:38,335,A,A，B,J,E，魅族22,E,C,Intel Core i7-14700,RTX 5060,A，B,A，C，D，I,K,A，L,A，B
GameCenter_2026060454261395,2026-06-04 22:35:33,51,A,B,B,C,D,,,,A,A，C，D，I,C，I,,A，B，G
GameCenter_2026060432331394,2026-06-04 22:34:27,183,A,B,G,C,E,,,,A,A，C，D，F，I,I,,A，B，D
GameCenter_2026060484801393,2026-06-04 22:33:56,60,A,B,D,B,F,,,,A,A，C,M,,C，E，G
GameCenter_2026060457541392,2026-06-04 22:32:33,123,A,A,,,,C,AMD Ryzen 7 5000,RTX3050,B,,,E，I，J，L，M,A，B，G
GameCenter_2026060479891391,2026-06-04 22:32:12,79,A,A，B,B,D,E,B,7800X3D,5070,B,,,A，H，I，J,B，E
GameCenter_2026060412031388,2026-06-04 22:31:33,784,A,B,E,B,D,,,,A,A，O,C，E，H，K,,A，B
GameCenter_2026060446191386,2026-06-04 22:30:30,115,A,B,G,A,C,,,,A，B,L,A，C，H,H，I,A，E，G
GameCenter_2026060427391385,2026-06-04 22:30:06,277,A,A，B,D,D,E,C,AMD Ryzen 7 9700x,AMD RX 9070xt,A，B,A，D，I，O，P,A，B，C，J，L,A，G，H，J,A，D，F
GameCenter_2026060436741383,2026-06-04 22:29:16,143,A,B,A,B,C,,,,A,J，L,M,,E
GameCenter_2026060424911382,2026-06-04 22:29:14,43,A,A,,,,C,i5-12400f,4050,B,,,E，G，I，J,A，B，C
GameCenter_2026060416931381,2026-06-04 22:28:33,148,A,B,F,D,D,,,,A，B，C,C，D，E，I，M,A，B，I,E，I，J，K，L,B，E，F
GameCenter_2026060488331376,2026-06-04 22:26:54,96,A,B,H,B,E,,,,A,A，C，D，I，P,A，C，I，L,,B，C，F
GameCenter_2026060462151375,2026-06-04 22:26:41,103,A,B,D,C,E,,,,A,A，D，I，J，L,B，H，I,,B，E，F
GameCenter_2026060425031374,2026-06-04 22:26:34,67,A,B,D,D,E,,,,A,D，I，O,A，C，H，I，J,,A，E，G
GameCenter_2026060499341372,2026-06-04 22:25:50,274,A,A，B,H,B,E,C,i9,4090,A，B,A，C，D，I，J,A，B，G，H，J,A，G，H，J，M,E
GameCenter_2026060470321369,2026-06-04 22:25:01,52,A,B,F,D,D,,,,A,D,H,,B
GameCenter_2026060430921367,2026-06-04 22:24:26,161,A,A,,,,C,i5-13600kf,4070ti,A，B,D，I,A，H,I，K,A，D，E
GameCenter_2026060467471366,2026-06-04 22:24:23,86,A,B,B,C,E,,,,A,A，C，D，I，J,M,,A，B，C
GameCenter_2026060460521364,2026-06-04 22:24:07,63,A,B,F,D,D,,,,A,D，I,M,,A，B，C
GameCenter_2026060463471361,2026-06-04 22:20:21,71,A,B,B,A,E,,,,A,C，D，I，J，L,B，I，J,,A，B，G
GameCenter_2026060472471360,2026-06-04 22:20:10,87,A,B,B,D,E,,,,A,A，C，D，I，J,M,,A，D，E
GameCenter_2026060411961359,2026-06-04 22:19:40,87,A,A，B,C,C,E,C,锐龙r5-5500,rtx5070,A，B，C,A，D，J，O，P,A，D，E，H，I,G，H，I，J,E，G，I
GameCenter_2026060413981358,2026-06-04 22:19:35,167,A,A，B,G,C,D,C,i512600KF,RTX4060,A，B,A，C，I，L，M,A，H,B，F，H，I，J,A，B，E
GameCenter_2026060456981357,2026-06-04 22:19:01,120,A,A，B,G,B,D,B,i5 12400f,Rtx3080 10g,B,,,H，J，L,A，C，F
GameCenter_2026060419181355,2026-06-04 22:18:08,59,A,B,G,E，红米K90 pro max,E,,,,A,A，C，L，O,I,,A，B，C
GameCenter_2026060417771351,2026-06-04 22:17:45,143,A,B,E,A,D,,,,A,A，L，O,A，B，D，I，L,,A，B，C
GameCenter_2026060483321350,2026-06-04 22:17:24,76,A,B,E,D,D,,,,A,D,K,,A
GameCenter_2026060428861349,2026-06-04 22:16:45,278,A,A,,,,C,i7-12700H,RTX-3060,A，B，C,A，C，F，O，P,A，I，L,O,A，C，G
GameCenter_2026060450671348,2026-06-04 22:15:46,228,A,B,G,B,E,,,,A，C,C，J，L,I,F，J,A，B
GameCenter_2026060499451346,2026-06-04 22:15:25,42,A,B,G,B,E,,,,A,A，F,C，F，G,,C，F
GameCenter_2026060463171345,2026-06-04 22:15:02,56,A,B,H,C,D,,,,A,A，D，J，L,A，F，G，K,,A，B，F
GameCenter_2026060447381344,2026-06-04 22:13:17,400,A,A，B,F,D,D,C,i5-13500HX,rtx4060laptop,A，B,C，D,A，C，H，J,I，J,B，E，G
GameCenter_2026060442541343,2026-06-04 22:12:48,77,A,B,A,E,E,,,,A,C，I，L，O,I,,E
GameCenter_2026060498981342,2026-06-04 22:12:41,103,A,A，B,F,E，一加ace6,E,C,i7-10875,rtx3060,A,C，D，H，I，O,I，K,,B，D
GameCenter_2026060412681341,2026-06-04 22:12:40,136,A,B,F,C,E,,,,A,A，C，F，L,C，D，E，I，L,,A，B，E
GameCenter_2026060457731340,2026-06-04 22:11:03,129,A,B,D,E，红米turbo3,D,,,,A,A，C，D，I，J,I,,A，B，I
GameCenter_2026060472781339,2026-06-04 22:10:14,80,A,A,,,,C,7800x3d,5060ti16g,B,,,E，I,A，C，G
GameCenter_2026060490221338,2026-06-04 22:09:20,35,A,B,C,E，OPPO reno12,E,,,,D,,,,A，B，F
GameCenter_2026060463101336,2026-06-04 22:07:59,64,A,B,H,C,E,,,,A,C，D，I，J，P,A，C，G，H,,A，B，E
GameCenter_2026060489591331,2026-06-04 22:04:51,80,A,B,E,A,E,,,,A,C，D，L,M,,C，D，E
GameCenter_2026060471191330,2026-06-04 22:04:35,185,A,A,,,,C,13th Gen Intel(R) Core(TM) i7-13700KF (3.40 GHz),NVIDIA GeForce RTX 4070 SUPER (12 GB),A，B，C,A，G，M,C，I，J，K,A，E,B，C，E
GameCenter_2026060470541329,2026-06-04 22:01:00,53,A,B,E,C,E,,,,A,A，D，I,B，L,,A，B，E
GameCenter_2026060426381327,2026-06-04 22:00:13,315,A,A,,,,C,Intel Corei5-12500H,NVIDIA GeForce RTX3050,A，B,A，C，D，I，K,F，G，H,B，C，G，I，L,B，C，E
GameCenter_2026060459571326,2026-06-04 22:00:11,115,A,B,D,D,E,,,,A，B，C,A，C，D，L，O,A，B，E,A，G，H，J，M,B，C，E
GameCenter_2026060479061325,2026-06-04 21:58:40,296,A,A,,,,C,Intel Core i7-14700HX 2.10GHz,NVIDIA GeForce RTX 4070 Laptop GPU,B,,,F，G，H，J，K,A，E，G
GameCenter_2026060421431324,2026-06-04 21:58:04,108,A,A，B,H,C,E,A,i5,4060,A，B,A，C，D，I,A，C，D，E,A,C，E
GameCenter_2026060482381323,2026-06-04 21:56:16,55,A,B,E,A,B,,,,A,A,A，B，C，G,,A，D
GameCenter_2026060490831322,2026-06-04 21:55:34,90,A,B,G,E，红米天玑8200,E,,,,A,C，D，I,M,,A，C，E
GameCenter_2026060467651321,2026-06-04 21:55:33,269,A,B,K，Hi畅享,E，JIY-ANOO,F,,,,A,C，D，I,M,,B，C，E
GameCenter_2026060464711320,2026-06-04 21:55:10,290,A,A，B,B,D,D,C,core i5-12400f,NVIDIA GeForce RTX 5060,A，B,A，I，L,A，D，J,A，C，G，J,A，B，C
GameCenter_2026060426091318,2026-06-04 21:52:36,118,A,B,G,C,D,,,,A，C,C，D，L，O，P,A，B，G，H，J,C，D，F，I，J,A，B，E
GameCenter_2026060417271315,2026-06-04 21:49:44,59,A,B,H,B,D,,,,A,C，D，J，L，P,A，B，C，G，J,,A，B，E
GameCenter_2026060453651314,2026-06-04 21:49:27,557,A,A,,,,C,Intel core i7-14700,RTX5070,A，B,A，C，F，I，J,J，L,A，E,B，C
GameCenter_2026060471681313,2026-06-04 21:49:02,73,A,A，B,H,C,C,C,13代i7,4060,A,A，C，D，J，L,A，C，G，H,,A，B，G
GameCenter_2026060422431311,2026-06-04 21:47:11,184,A,B,H,E，IQOO13（4.3GHZ骁龙8至尊版移动平台八核）,E,,,,A，B,C，D，G，L，O,B，I，L,D，F，H，I，J,A，E，F
GameCenter_2026060451041310,2026-06-04 21:46:37,113,A,B,I,A,D,,,,A,A，C，L,B，I,,B，C，D
GameCenter_2026060412991309,2026-06-04 21:46:23,138,A,A，B,G,D,E,C,i7系列14代,rtx5070,A，B,C，O，P,A，C，D，E，J,F，K，L,A，B，C
GameCenter_2026060493771307,2026-06-04 21:45:30,166,A,A,,,,B,12代1512400F ,NVIDIA GeForce GTX 1060 3GB,B,,,J,A，B，E
GameCenter_2026060493771306,2026-06-04 21:45:18,232,A,B,E,E，荣耀GT,E,,,,A，B,A，C，I，O,I,M,A，B，G
GameCenter_2026060434261305,2026-06-04 21:44:49,60,A,A,,,,C,i7-12700kf,5070,B,,,A,A
GameCenter_2026060493031302,2026-06-04 21:41:40,142,A,A，B,C,D,E,C,ADM R9 8940HX,RTX 5060,A，B,C，D，F，I，L,A，G，I，L,C，D，G，H,A，C，E
GameCenter_2026060423991301,2026-06-04 21:41:17,77,A,B,A,A,D,,,,A，B，C,A，C，D，I，J,D，F，G，I，L,A，E，K，L，M,A，B，E
GameCenter_2026060495341300,2026-06-04 21:40:16,46,A,B,G,B,D,,,,A，B,A，B，C，D，E,F，G，H，J，K,B，D，E，I，J,A，C，F
GameCenter_2026060472571299,2026-06-04 21:39:10,34,A,B,D,D,E,,,,A,A，B，C，D，I,E，F，G，H，J,,A，B，E
GameCenter_2026060489171296,2026-06-04 21:36:37,91,A,B,A,B,D,,,,A,C，D，I，J，P,A，C，H，L,,A，B，G
GameCenter_2026060488031295,2026-06-04 21:34:43,57,A,B,H,C,D,,,,A,A，C，D，I，J,A，C，D，J,,B，E，F
GameCenter_2026060417441293,2026-06-04 21:33:35,74,A,B,G,D,E,,,,A，B,A，B，D，I，O,A，C，G，H，I,A，B，J,A，B，G
GameCenter_2026060495231292,2026-06-04 21:32:15,60,A,B,B,E，y78,C,,,,A,A，C，D，H,E，H，J,,A，B，C
GameCenter_2026060488271291,2026-06-04 21:29:59,118,A,A,,,,C,i5-12490,3060TI,A，B,A，C，D，G,C，G，H，J，K,A，E，F，H，L,A，E，G
GameCenter_2026060488971289,2026-06-04 21:26:58,48,A,B,E,D,E,,,,A,D，I，J,J,,A，B，E
GameCenter_2026060435371288,2026-06-04 21:26:57,39,A,B,G,C,E,,,,A,C，D,H，I，K，L,,A，B，D
GameCenter_2026060433621287,2026-06-04 21:26:45,40,A,B,A,D,E,,,,A,A，D,K,,A，B
GameCenter_2026060415841286,2026-06-04 21:25:57,62,A,B,E,D,D,,,,A，B,A，D，F，I，O,B，D，E，I，J,A，K,A，B
GameCenter_2026060442571282,2026-06-04 21:24:15,216,A,B,A,A,F,,,,A，B,C，D，I，J，L,A,F，G，H，J,A，B，G
GameCenter_2026060490941278,2026-06-04 21:21:03,91,A,B,H,C,E,,,,A,A，C，D，I，J,H,,A，C，E
GameCenter_2026060454911277,2026-06-04 21:20:02,55,A,B,C,C,E,,,,A,D，L，O,C，I,,A，B
GameCenter_2026060426801274,2026-06-04 21:16:53,49,A,A，B,E,B,E,C,I9-13900,RTX4090,B,,,A，D，I，L,A，B，E
GameCenter_2026060460161273,2026-06-04 21:16:52,103,A,A,,,,C,处理器 : Intel Core Ultra 9 275HX 核心数 24 (8P+16E) 线程数 24 (8P+16E)工艺 TSMC N3,显卡   : NVIDIA GeForce RTX 5080 Laptop ASUS流处理器  7680 显存  16G (GDDR7 Samsung)
,B,,,A，E，I，J，K,A，B，G
GameCenter_2026060411631272,2026-06-04 21:16:45,89,A,B,A,A,E,,,,A，B,A，C，D，F，I,H，I,B，G，I，J，M,A，B，E
GameCenter_2026060437721271,2026-06-04 21:16:40,1274,A,A，B,H,D,D,C,AMD Ryzen 5 9600x,5060,A，C,A，D，I，O,A，G，I，J，L,G，I，J，M,C，E，J
GameCenter_2026060463951270,2026-06-04 21:13:58,134,A,B,C,E，oppo A3,D,,,,A，B,D,M,N,A，B
GameCenter_2026060499541264,2026-06-04 21:05:35,76,A,B,H,D,D,,,,A,A，D，J，L，O,G，I，L,,A，E，G
GameCenter_2026060447891263,2026-06-04 21:05:05,79,A,A,,,,C,i5-11400H,RTX3060,B,,,I，K,A，G
GameCenter_2026060462781262,2026-06-04 21:05:02,337,A,A,,,,C,core i7 12代产品,N卡 5060,A，C,G，I,M,A，I，J,A，C，E
GameCenter_2026060465761261,2026-06-04 21:04:43,124,A,B,B,D,D,,,,A,A，C,A，C，F,,A，E，G
GameCenter_2026060425461259,2026-06-04 21:03:55,193,A,A，B,F,D,E,C,AMD 9 8940,RTX5060,A，B,C，D，E，I，L,M,F，G，H，J,B，C，E
GameCenter_2026060458281258,2026-06-04 21:03:32,112,A,B,D,A,C,,,,A,C，D，I，J，P,A，I,,A，B，E
GameCenter_2026060451251257,2026-06-04 21:02:30,62,A,B,A,A,E,,,,A,L,B，C，E，G，I,,B，D，E
GameCenter_2026060422041256,2026-06-04 21:01:44,73,A,B,E,D,E,,,,A,B，E，G，J,G，J,,A
GameCenter_2026060417941254,2026-06-04 20:58:18,101,A,B,B,A,C,,,,A，B,P,A，I,A，H,A，B
GameCenter_2026060476991252,2026-06-04 20:57:40,102,A,B,A,E，华为NOVA10,E,,,,A,C，H，L，P,A，G,,A，B，F
GameCenter_2026060487071251,2026-06-04 20:56:45,74,A,B,E,E，荣耀X60Ppor,D,,,,A,A，C，D，F，I,A，H,,A，B，E
GameCenter_2026060459981250,2026-06-04 20:56:16,560,A,A,,,,C,intel core i5-13450hx,nvdia GeForce RTX 4060 laptop GPU,B,,,B，D，K，L,A，B，G
GameCenter_2026060451461247,2026-06-04 20:53:31,87,A,A,,,,C,NVIDIA 系统信息报告创建于： 06/04/2026 20:55:43
NVIDIA App 版本: 11.0.7.247
操作系统: Microsoft Windows 11 专业版, 版本 10.0.26200
DirectX 运行时版本: DirectX 12
驱动程序: Game Ready 驱动程序 - 595.97 - Tue Mar 24, 2026
CPU: Intel(R) Core(TM) Ultra 9 285K
内存: 32.0 GB
存储: SSD - 1.9 TB

显卡
GPU: NVIDIA GeForce RTX 5080
Direct3D 功能级别: 12_1
CUDA 核心: 10752
图形时钟: 2655 MHz
Resizable BAR: 是
内存数据速率: 30.00 Gbps
内存接口: 256-位
内存带宽: 960.064  GB/秒
全部可用的图形内存: 32354 MB
系统视频内存: N/A
共享系统内存: 16051 MB
专用视频内存: 16303 MB GDDR7
视频 BIOS 版本: 98.03.3b.c0.40
设备 ID: 10DE 2C02 89E01043
部件编号: G147 0045
IRQ: 未使用
总线: PCI Express x16

显示 (1): DP1
分辨率: 2560 x 1440 （本机）
刷新率: 240 Hz
桌面颜色深度: 最高（32 位）
HDCP: 支持,NVIDIA 系统信息报告创建于： 06/04/2026 20:55:43
NVIDIA App 版本: 11.0.7.247
操作系统: Microsoft Windows 11 专业版, 版本 10.0.26200
DirectX 运行时版本: DirectX 12
驱动程序: Game Ready 驱动程序 - 595.97 - Tue Mar 24, 2026
CPU: Intel(R) Core(TM) Ultra 9 285K
内存: 32.0 GB
存储: SSD - 1.9 TB

显卡
GPU: NVIDIA GeForce RTX 5080
Direct3D 功能级别: 12_1
CUDA 核心: 10752
图形时钟: 2655 MHz
Resizable BAR: 是
内存数据速率: 30.00 Gbps
内存接口: 256-位
内存带宽: 960.064  GB/秒
全部可用的图形内存: 32354 MB
系统视频内存: N/A
共享系统内存: 16051 MB
专用视频内存: 16303 MB GDDR7
视频 BIOS 版本: 98.03.3b.c0.40
设备 ID: 10DE 2C02 89E01043
部件编号: G147 0045
IRQ: 未使用
总线: PCI Express x16

显示 (1): DP1
分辨率: 2560 x 1440 （本机）
刷新率: 240 Hz
桌面颜色深度: 最高（32 位）
HDCP: 支持,B,,,A，H，J，L,A，E
GameCenter_2026060453841245,2026-06-04 20:52:59,150,A,B,D,B,D,,,,A，C,A，D，F，I，J,A，J,A，F，J，L,B，C
GameCenter_2026060491601244,2026-06-04 20:52:57,136,A,B,C,E，天玑6020,D,,,,A,C，D，L,E,,A，E，G
GameCenter_2026060476931242,2026-06-04 20:52:21,67,A,A,,,,C,i5 12600kf,N卡4060,B，C,,,I，K,A，B，G
GameCenter_2026060467191240,2026-06-04 20:50:48,259,A,A,,,,C,AMD Ryzen 7 9800X3D 8-Core 八核,NVIDIA GeForce RTX 5080（华硕）,A，B,A，C，D，J，L,M,G,E，F
GameCenter_2026060461091239,2026-06-04 20:50:17,216,A,A，B,D,D,D,C,AMD Ryzen 5 5600H,NVIDIA GeForce RTX 3050Ti,A，B,A，F，I,B，I，L,F，J,A，B，E
GameCenter_2026060472261237,2026-06-04 20:49:53,67,A,B,A,D,C,,,,A,C，D，E，I，N,J,,A，B，C
GameCenter_2026060440461236,2026-06-04 20:49:44,35,A,A,,,,B,AMD 3600,3070,B,,,I,A
GameCenter_2026060482351235,2026-06-04 20:48:46,117,A,B,A,A,D,,,,A,C，D，I，J，O,I,,B，C，F
GameCenter_2026060417001234,2026-06-04 20:47:11,42,A,B,D,B,E,,,,A,A，I,K,,B，C
GameCenter_2026060442161233,2026-06-04 20:46:41,98,A,B,C,E，OPPOReno15,D,,,,A,C，D，I，J,M,,A，B
GameCenter_2026060490751231,2026-06-04 20:46:14,107,A,B,B,E,E,,,,A,A，B，D，J，O,C,,A，B，E
GameCenter_2026060431501228,2026-06-04 20:43:46,55,A,B,B,D,D,,,,A,A，B，C，D，I,F，G，J，K，L,,B，C，D
GameCenter_2026060450311227,2026-06-04 20:43:30,92,A,B,D,B,D,,,,A，B,D，P,A,H,A，B，C
GameCenter_2026060452001224,2026-06-04 20:40:23,55,A,A,,,,C,i712700h,3060laptop,B,,,A，H，I，J,A，B，C
GameCenter_2026060455311223,2026-06-04 20:39:59,132,A,B,E,C,E,,,,A，C,A，C，D，I，L,A，I，J，L,A，G，H，J,A，B，G
GameCenter_2026060476631221,2026-06-04 20:38:12,107,A,B,C,E，oppoA1,D,,,,A,C，L,B,,C，I
GameCenter_2026060480091219,2026-06-04 20:36:27,48,A,A,,,,C,13490f,4060ti,A，B,A，I,M,J,A，B，E
GameCenter_2026060416461218,2026-06-04 20:35:29,110,A,B,A,A,C,,,,A，C,C，D，H，I，O,A，B，E，I,I，J，K,A，B，G
GameCenter_2026060420671213,2026-06-04 20:31:23,79,A,B,B,A,D,,,,A,A，C，D，F，I,B,,A，C，E
GameCenter_2026060419991212,2026-06-04 20:31:10,73,A,B,E,E，华为荣耀60,C,,,,A,C，D，I，O,A，B，I,,C，E，F
GameCenter_2026060426491208,2026-06-04 20:26:19,123,A,B,C,A,D,,,,A,C，I，L,B，J,,A，C，E
GameCenter_2026060479711207,2026-06-04 20:24:29,152,A,A，B,C,A,C,C,忘了,3050ti,A，B,A，C，D，F，I,E，I，L,I,A，B，E
GameCenter_2026060453891206,2026-06-04 20:23:44,250,A,A,,,,B,ryzen5 7600,RX6700xt,A，B，C,A，D，I,H，I,A，D，I，L,A，C，E
GameCenter_2026060427031205,2026-06-04 20:22:17,83,A,B,K，联想,E，Y700,E,,,,A,D，L,M,,A
GameCenter_2026060463921204,2026-06-04 20:21:47,49,A,B,J,B,D,,,,A,I，L,M,,A，B，C
GameCenter_2026060431171203,2026-06-04 20:21:31,66,A,B,H,C,D,,,,A,B，C，D，I，L,C，H，I,,B，C，F
GameCenter_2026060467471200,2026-06-04 20:19:39,43,A,B,G,B,E,,,,A,A，I,H,,A，C
GameCenter_2026060441751199,2026-06-04 20:18:36,60,A,A，B,B,B,E,B,不清楚,不清楚,A,A，J,I,,J
GameCenter_2026060421321198,2026-06-04 20:17:46,64,A,B,F,D,E,,,,C,,,A,A
GameCenter_2026060439081196,2026-06-04 20:14:46,53,A,B,D,C,D,,,,A,A，C，D，I，L,A，C，D，E,,A，B，E
GameCenter_2026060414151195,2026-06-04 20:14:18,55,A,B,D,D,E,,,,A,A，D，O，P,A，C，I，J,,A，B，G
GameCenter_2026060427291194,2026-06-04 20:13:57,178,A,A，B,F,C,E,C,i7-14650,RTX4060,B,,,G，H，I，K，M,B，E，G
GameCenter_2026060499131193,2026-06-04 20:13:54,172,A,A,,,,C,Intel Core i7-12700,NVIDA Geforce RTX 4090,B,,,B，J，L，M,A，B，C
GameCenter_2026060485581192,2026-06-04 20:13:21,52,A,B,H,C,E,,,,A,C，E，I,A，C，D，G，J,,B，C，E
GameCenter_2026060432621190,2026-06-04 20:11:58,112,A,A，B,D,D,E,C,R7 6000,3070,A，B,A，C，D，I，O,H，J,C，D，J，M,E
GameCenter_2026060419171188,2026-06-04 20:08:37,211,A,A,,,,B,Intel Core i5 12400f,Radeon RX 6750 XT,B,,,A，J,A，B
GameCenter_2026060461951187,2026-06-04 20:08:22,39,A,B,H,C,D,,,,A,A，D，I，L,F，H，I，J,,A，B，G
GameCenter_2026060458931185,2026-06-04 20:06:33,130,A,A,,,,B,Intel  Core  i5-13400kf,5060,B,,,G，H，J,A，B，C
GameCenter_2026060487391183,2026-06-04 20:06:05,215,A,B,D,D,E,,,,A，B，C,A，C，G，H，I,A，B，D，E，L,F，I，J，K，M,A，E，G
GameCenter_2026060410471177,2026-06-04 20:00:33,95,A,A,,,,C,amd ryzen 7945hx,rtx4090,A，B,A，D,C，J,A,A，B，C
GameCenter_2026060469911176,2026-06-04 20:00:32,67,A,B,H,C,E,,,,A，B，C,A，D，F，I，P,A，C，F，G，L,K，L，M,A，B，G
